#Date        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    34     0
 20231204      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    44     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    40     0
 20231204      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2     3
 20231204      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     6    18
 20231204      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     3     3
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     5
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     5
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    23
 20231204      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     2
 20231204      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     6     0
