#Date       Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#YYYYMMDD   HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 20231204   10:05:50      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    22
 20231204   10:05:50      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204   10:05:51      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:05:51      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 20231204   10:05:53      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:05:53      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     3
 20231204   10:05:54      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     7    20
 20231204   10:05:54      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:05:55      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:05:55      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     3
 20231204   10:05:56      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    41     0
 20231204   10:05:56      1    12    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 20231204   10:05:58      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:05:58      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:05:59      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    17
 20231204   10:05:59      1    11    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:00      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     2    25
 20231204   10:06:00      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:02      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:02      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:03      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:03      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     7     0
 20231204   10:06:04      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 20231204   10:06:04      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:05      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:05      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 20231204   10:06:06      0    10    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 20231204   10:06:06      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 20231204   10:06:08      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0    36     0
