#Time        gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
#HH:MM:SS    Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
 10:04:52      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 10:04:52      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:04:53      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:04:53      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     1
 10:04:55      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:04:55      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     3
 10:04:56      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     1
 10:04:56      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     4
 10:04:58      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:04:58      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     1
 10:04:59      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     8    19
 10:04:59      1    10    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:05:00      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:00      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     1
 10:05:01      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:01      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     1
 10:05:03      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:03      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     1
 10:05:04      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0    21
 10:05:04      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     1     1
 10:05:05      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     1    21
 10:05:05      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     0
 10:05:06      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:06      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     0
 10:05:08      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:08      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     4     0
 10:05:09      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:09      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     1
 10:05:10      0    11    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     0
 10:05:10      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     3     2
 10:05:11      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     7    18
 10:05:11      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     0     1
 10:05:12      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     3
 10:05:12      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     5     0
 10:05:14      0     9    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     2
 10:05:14      1     9    37     -     0     0     0     0   405   300     0     0     0     2     0     0     0     2     1
 10:05:15      0    12    35     -     0     0     0     0   405   300     0     0     3     3     0     0     0     0     4
